#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 3/2/2026 1:16:37 PM,#Sample : Cu,#Comment : ,,,,,,,,,,,,,,
1.230000000E+2,2.178770000E+2,7.317850000E+1,0.000000000E+0,7.604546970E-4,1.102134113E-2,1.221934127E-1,8.690584184E-5,1.102134113E-2,1.798832303E+2,2.310786228E-3,1.152496028E-2,-1.905229121E-3,2.859142699E-5,1.152496028E-2,7.951532219E-1,0.000000000E+0
1.240000000E+2,2.175130000E+2,7.349150000E+1,0.000000000E+0,7.579282400E-4,1.102252912E-2,2.431675880E-1,8.889557767E-5,1.102252912E-2,1.778775819E+2,2.304214809E-3,1.152661652E-2,4.637148714E-2,2.788010127E-5,1.152661652E-2,6.274269826E+0,0.000000000E+0
1.250000000E+2,2.171510000E+2,7.364930000E+1,0.000000000E+0,7.541732073E-4,1.102385248E-2,3.307976609E-1,9.244251399E-5,1.102385248E-2,1.762876855E+2,2.298855869E-3,1.152832513E-2,8.836463691E-2,2.513126732E-5,1.152832513E-2,1.041460669E+1,0.000000000E+0
1.260000000E+2,2.167910000E+2,7.381230000E+1,0.000000000E+0,7.531757061E-4,1.102598135E-2,1.661915429E-1,9.080743993E-5,1.102598135E-2,1.782812613E+2,2.293828143E-3,1.153024683E-2,2.917501570E-2,2.451553221E-5,1.153024683E-2,2.415064935E+0,0.000000000E+0
1.270000000E+2,2.164340000E+2,7.381230000E+1,0.000000000E+0,7.508509099E-4,1.102810199E-2,1.963574347E-1,9.341128857E-5,1.102810199E-2,1.779417534E+2,2.287792675E-3,1.153195552E-2,3.322090471E-2,2.394306289E-5,1.153195552E-2,6.509115533E+0,0.000000000E+0
1.280000000E+2,2.160840000E+2,7.415370000E+1,0.000000000E+0,7.485111221E-4,1.102971005E-2,2.913658380E-1,9.378157100E-5,1.102971005E-2,1.771848540E+2,2.283010866E-3,1.153361383E-2,5.781042453E-2,2.319588630E-5,1.153361383E-2,8.995981488E+0,0.000000000E+0
1.290000000E+2,2.157340000E+2,7.426970000E+1,-0.000000000E+0,7.483030699E-4,1.103137687E-2,2.107356344E-1,9.160169136E-5,1.103137687E-2,1.782859018E+2,2.278194862E-3,1.153509434E-2,4.041809205E-2,2.422114698E-5,1.153509434E-2,5.145351318E+0,0.000000000E+0
1.300000000E+2,2.153840000E+2,7.443480000E+1,-0.000000000E+0,7.452964425E-4,1.103274270E-2,1.405515922E-1,9.201202185E-5,1.103274270E-2,1.782656236E+2,2.273038989E-3,1.153660009E-2,1.566912623E-2,2.366862989E-5,1.153660009E-2,3.791341125E+0,0.000000000E+0
1.310000000E+2,2.150370000E+2,7.458390000E+1,-0.000000000E+0,7.454027098E-4,1.103404033E-2,2.160144759E-1,9.071818033E-5,1.103404033E-2,1.777494624E+2,2.270818925E-3,1.153801680E-2,4.296285977E-2,2.470811953E-5,1.153801680E-2,5.564662698E+0,0.000000000E+0
1.320000000E+2,2.146940000E+2,7.471940000E+1,-0.000000000E+0,7.437032763E-4,1.103627808E-2,3.831034039E-1,9.100969410E-5,1.103627808E-2,1.767064528E+2,2.265988740E-3,1.153976118E-2,9.289722048E-2,2.452949138E-5,1.153976118E-2,9.561909424E+0,0.000000000E+0
1.330000000E+2,2.143560000E+2,7.486590000E+1,-0.000000000E+0,7.428522815E-4,1.103849377E-2,3.804246530E-1,8.917542958E-5,1.103849377E-2,1.769696341E+2,2.262620679E-3,1.154163882E-2,8.915801298E-2,2.521372273E-5,1.154163882E-2,1.040569936E+1,0.000000000E+0
1.340000000E+2,2.140200000E+2,7.503560000E+1,-0.000000000E+0,7.400876944E-4,1.104112622E-2,2.627258519E-1,9.046483456E-5,1.104112622E-2,1.771437512E+2,2.257225526E-3,1.154302367E-2,5.951812077E-2,2.428232488E-5,1.154302367E-2,6.447089163E+0,0.000000000E+0
